DifPrev1,DiffPrev2,DiffPrev3,DiffPrev4,DiffPrev5,DiffPrev6,DiffPrev7,DiffPrev8,DiffPrev9,DiffPrev10,Value
1.0006,0.999,1.0038,1.005,1.0054,1.0049,1.0053,1.0051,1.0052,1.0045,318.125
0.9983,0.999,0.9974,1.0022,1.0033,1.0037,1.0032,1.0036,1.0035,1.0036,317.595
1.0008,0.9991,0.9997,0.9981,1.003,1.0041,1.0045,1.004,1.0044,1.0043,317.845
1.0017,1.0025,1.0008,1.0015,0.9999,1.0047,1.0059,1.0063,1.0057,1.0061,318.395
1.0013,1.003,1.0038,1.0021,1.0027,1.0011,1.006,1.0071,1.0075,1.007,318.795
1.0008,1.0021,1.0038,1.0046,1.0029,1.0036,1.002,1.0068,1.008,1.0084,319.062
0.9979,0.9987,1,1.0017,1.0025,1.0008,1.0015,0.9999,1.0047,1.0059,318.395
0.998,0.9959,0.9968,0.998,0.9997,1.0005,0.9989,0.9995,0.9979,1.0027,317.762
0.9995,0.9975,0.9954,0.9963,0.9975,0.9993,1,0.9984,0.999,0.9974,317.609
0.9993,0.9988,0.9969,0.9948,0.9956,0.9969,0.9986,0.9994,0.9977,0.9983,317.396
0.9996,0.9989,0.9984,0.9965,0.9944,0.9952,0.9965,0.9982,0.999,0.9973,317.268
0.9994,0.999,0.9983,0.9978,0.9958,0.9938,0.9946,0.9958,0.9976,0.9983,317.069
1.0002,0.9995,0.9991,0.9985,0.998,0.996,0.9939,0.9947,0.996,0.9977,317.12
1.0005,1.0007,1.0001,0.9997,0.999,0.9985,0.9965,0.9944,0.9953,0.9965,317.289
1,1.0006,1.0007,1.0001,0.9997,0.999,0.9985,0.9966,0.9945,0.9953,317.299
1.0007,1.0007,1.0012,1.0014,1.0008,1.0004,0.9997,0.9992,0.9972,0.9951,317.509
0.9994,1.0001,1.0001,1.0007,1.0008,1.0002,0.9998,0.9991,0.9986,0.9967,317.329
0.9997,0.9992,0.9998,0.9999,1.0004,1.0006,0.9999,0.9995,0.9989,0.9984,317.248
1.0007,1.0005,0.9999,1.0006,1.0006,1.0011,1.0013,1.0007,1.0003,0.9996,317.484
1.0003,1.0011,1.0008,1.0003,1.0009,1.001,1.0015,1.0017,1.001,1.0006,317.595
1.0013,1.0017,1.0024,1.0022,1.0016,1.0023,1.0023,1.0028,1.003,1.0024,318.017
1.0002,1.0016,1.0019,1.0027,1.0024,1.0018,1.0025,1.0025,1.0031,1.0032,318.095
0.9989,0.9991,1.0005,1.0008,1.0016,1.0013,1.0007,1.0014,1.0014,1.002,317.745
1.0026,1.0015,1.0018,1.0031,1.0035,1.0042,1.004,1.0034,1.0041,1.0041,318.586
1,1.0027,1.0016,1.0018,1.0031,1.0035,1.0042,1.004,1.0034,1.0041,318.595
0.9992,0.9992,1.0019,1.0008,1.001,1.0024,1.0027,1.0035,1.0032,1.0026,318.347
1.0011,1.0004,1.0004,1.003,1.0019,1.0022,1.0035,1.0039,1.0046,1.0043,318.707
0.9998,1.0009,1.0001,1.0002,1.0028,1.0017,1.0019,1.0033,1.0036,1.0044,318.635
0.9987,0.9985,0.9996,0.9989,0.9989,1.0015,1.0004,1.0007,1.002,1.0024,318.232
1,0.9987,0.9985,0.9996,0.9988,0.9988,1.0015,1.0004,1.0006,1.002,318.219
1.0009,1.0009,0.9996,0.9994,1.0005,0.9997,0.9998,1.0024,1.0013,1.0016,318.512
1.0006,1.0015,1.0015,1.0002,1,1.0011,1.0003,1.0004,1.003,1.0019,318.705
0.9986,0.9992,1.0002,1.0001,0.9988,0.9986,0.9997,0.999,0.999,1.0016,318.267
1.0002,0.9988,0.9994,1.0004,1.0003,0.999,0.9988,1,0.9992,0.9992,318.332
0.9992,0.9994,0.998,0.9986,0.9995,0.9995,0.9982,0.998,0.9991,0.9984,318.074
0.9999,0.9991,0.9993,0.9979,0.9985,0.9994,0.9994,0.9981,0.9979,0.999,318.035
1.0004,1.0003,0.9995,0.9997,0.9983,0.9989,0.9999,0.9998,0.9986,0.9983,318.173
0.9999,1.0004,1.0003,0.9994,0.9996,0.9983,0.9989,0.9998,0.9998,0.9985,318.155
0.9999,0.9998,1.0003,1.0002,0.9993,0.9996,0.9982,0.9988,0.9997,0.9997,318.125
1,0.9999,0.9999,1.0003,1.0002,0.9994,0.9996,0.9982,0.9988,0.9997,318.128
1,1,0.9999,0.9998,1.0003,1.0001,0.9993,0.9995,0.9982,0.9988,318.12
1.0028,1.0028,1.0028,1.0027,1.0026,1.003,1.0029,1.0021,1.0023,1.0009,319.005
1.0009,1.0037,1.0037,1.0037,1.0036,1.0035,1.0039,1.0038,1.003,1.0032,319.29
1.0017,1.0026,1.0054,1.0054,1.0054,1.0053,1.0052,1.0057,1.0056,1.0047,319.843
0.9997,1.0014,1.0023,1.0051,1.005,1.0051,1.005,1.0049,1.0053,1.0052,319.733
0.9995,0.9991,1.0009,1.0017,1.0045,1.0045,1.0045,1.0044,1.0044,1.0048,319.562
1.0012,1.0006,1.0003,1.002,1.0029,1.0057,1.0057,1.0057,1.0056,1.0055,319.935
1.0007,1.0019,1.0014,1.001,1.0027,1.0036,1.0064,1.0064,1.0064,1.0063,320.165
1.0008,1,0.9999,1.0004,1.0007,1.0007,1.0007,1.0006,1.0009,1.0016,311.74
1.0008,1.0017,1.0008,1.0007,1.0013,1.0015,1.0015,1.0015,1.0014,1.0017,311.997
1.0001,1.0009,1.0018,1.0009,1.0008,1.0014,1.0016,1.0016,1.0016,1.0015,312.03
0.9999,1,1.0009,1.0017,1.0009,1.0008,1.0013,1.0015,1.0015,1.0015,312.007
1,0.9999,1,1.0008,1.0016,1.0008,1.0007,1.0012,1.0015,1.0015,311.992
0.9999,0.9998,0.9998,0.9999,1.0007,1.0015,1.0007,1.0006,1.0011,1.0014,311.958
0.9993,0.9993,0.9992,0.9994,0.9996,0.9996,0.9997,1.0007,0.9998,1.001,325.95
1.0007,1,1.0001,0.9999,1.0002,1.0003,1.0003,1.0005,1.0014,1.0006,326.19
1.0007,1.0014,1.0007,1.0008,1.0006,1.0009,1.001,1.001,1.0012,1.0021,326.421
1.0024,1.0031,1.0038,1.0031,1.0032,1.003,1.0033,1.0034,1.0034,1.0036,327.2
0.9987,1.0011,1.0018,1.0025,1.0018,1.0018,1.0017,1.0019,1.0021,1.0021,326.77
0.9995,0.9982,1.0006,1.0013,1.0021,1.0013,1.0014,1.0012,1.0015,1.0017,326.62
1.0001,0.9996,0.9983,1.0007,1.0014,1.0021,1.0014,1.0014,1.0013,1.0015,326.64
